qtype_Computational,qtype_Descriptive,qtype_Differentiate,qtype_Discrete,qtype_Mathematical,qtype_Other,qtype_Proof,qtype_Statistical,qtype_What,keyword_count,keyword_tfidf,sentence_count,readability_scores,avg_word_length,difficulty_level_encoded
0,1,0,0,0,0,0,0,0,6,4.322107567,3,32.66666667,6.428571429,1
0,1,0,0,0,0,0,0,0,6,4.526108926,3,30.89275362,6.083333333,1
1,0,0,0,0,0,0,0,0,6,3.885067301,3,29.46666667,6.7,2
0,0,1,0,0,0,0,0,0,4,4.780080286,2,32.33333333,7.125,0
0,0,1,0,0,0,0,0,0,3,7.979661888,2,32.4,6.714285714,0
0,1,0,0,0,0,0,0,0,4,3.398663414,2,29.06666667,5.75,1
0,1,0,0,0,0,0,0,0,3,3.56120913,1,33.2,5.2,0
0,0,0,0,1,0,0,0,0,4,5.39337771,2,19.94285714,7.333333333,0
0,0,0,0,0,0,0,0,1,5,6.177759823,3,29.06666667,5.3,1
0,1,0,0,0,0,0,0,0,3,3.186802426,2,28.46666667,7.5,0
0,0,0,0,0,1,0,0,0,3,5.196032476,2,30.29230769,7.8,1
0,1,0,0,0,0,0,0,0,3,4.125026135,2,27.65454545,5,0
0,1,0,0,0,0,0,0,0,5,4.570241723,3,31.37142857,5.545454545,2
0,1,0,0,0,0,0,0,0,4,5.657815264,2,30.29230769,6.428571429,1
0,1,0,0,0,0,0,0,0,4,4.316904605,2,28.51428571,6.75,2
0,1,0,0,0,0,0,0,0,5,4.034407629,2,35,6.888888889,2
1,0,0,0,0,0,0,0,0,4,4.860085907,2,34.22857143,5.285714286,1
0,1,0,0,0,0,0,0,0,3,4.517431406,2,32.4,5.777777778,2
0,1,0,0,0,0,0,0,0,5,4.56603954,2,30.26666667,5.7,2
0,1,0,0,0,0,0,0,0,5,4.043230953,2,32.33333333,5.75,1
0,1,0,0,0,0,0,0,0,3,4.418593855,2,26,4.8,1
1,0,0,0,0,0,0,0,0,3,3.894855446,0,30.26666667,5.166666667,1
0,1,0,0,0,0,0,0,0,10,4.756624415,2,31.31428571,5.153846154,1
0,1,0,0,0,0,0,0,0,14,4.822933982,4,34.99767442,4.846153846,2
0,1,0,0,0,0,0,0,0,11,5.201367298,4,29.36666667,5.117647059,2
1,0,0,0,0,0,0,0,0,6,4.593081233,3,28.14901961,5.875,1
0,1,0,0,0,0,0,0,0,8,4.036058739,2,36.08888889,4.916666667,1
0,0,0,0,0,1,0,0,0,2,6.061726441,2,25.73333333,5.6,0
1,0,0,0,0,0,0,0,0,2,3.996825752,1,37.08571429,5.4,1
0,0,0,0,0,1,0,0,0,3,4.358112832,2,30.29230769,5.8,0
0,1,0,0,0,0,0,0,0,3,3.54281546,1,38.9,5.222222222,2
1,0,0,0,0,0,0,0,0,4,3.647318481,3,28.14901961,6.142857143,0
0,0,0,0,0,1,0,0,0,3,4.705908383,1,31.46666667,4.833333333,1
0,1,0,0,0,0,0,0,0,3,3.6818673,2,30,6.4,0
0,1,0,0,0,0,0,0,0,3,4.560727584,0,29.85454545,4.125,0
1,0,0,0,0,0,0,0,0,9,4.95488821,4,27.72758621,5.636363636,2
0,1,0,0,0,0,0,0,0,4,5.105355453,2,30.7,4.777777778,1
1,0,0,0,0,0,0,0,0,3,4.578087505,2,31.37142857,6,2
0,0,0,0,0,0,0,0,1,2,4.451335253,2,30,4.8,1
0,0,0,0,0,0,0,0,1,3,5.024349523,2,24.01818182,5.2,0
0,0,0,0,0,0,0,1,0,4,6.031961601,2,31.37142857,5.2,1
1,0,0,0,0,0,0,0,0,2,3.797876959,1,34.71111111,5.857142857,2
0,1,0,0,0,0,0,0,0,2,3.8609784,2,28.46666667,6.6,1
0,1,0,0,0,0,0,0,0,6,4.956824139,2,32.48888889,5.5,1
0,0,0,0,0,0,0,0,1,4,4.839765289,2,28.51428571,4.428571429,0
1,0,0,0,0,0,0,0,0,2,3.372646668,2,30,5.4,1
1,0,0,0,0,0,0,0,0,2,3.79603227,1,33.2,6.25,0
1,0,0,0,0,0,0,0,0,3,4.058326988,0,30.26666667,5,0
0,0,0,0,0,0,0,1,0,4,5.694959608,2,32.48888889,4.7,0
0,1,0,0,0,0,0,0,0,7,5.222832869,2,32,5.727272727,1
0,0,1,0,0,0,0,0,0,3,4.595244594,2,28.46666667,5,0
0,0,0,0,0,1,0,0,0,3,4.699168409,2,32.33333333,6.571428571,0
0,1,0,0,0,0,0,0,0,5,8.309371435,2,33.2,4.444444444,1
0,1,0,0,0,0,0,0,0,5,4.527924015,2,31.63529412,5.25,2
0,0,0,0,0,1,0,0,0,5,5.017672844,2,36.34117647,5.8,1
0,0,0,0,0,1,0,0,0,4,7.250845882,2,28.51428571,4.428571429,2
0,0,0,0,0,1,0,0,0,7,5.442157562,2,36,6.777777778,0
0,0,0,0,0,0,0,0,1,4,6.800454361,2,27.21538462,6.25,1
0,1,0,0,0,0,0,0,0,4,4.64836484,1,40.66666667,6.2,1
0,1,0,0,0,0,0,0,0,5,5.690225122,2,36.58095238,6.090909091,0
0,1,0,0,0,0,0,0,0,5,3.788962304,1,38.13333333,6.857142857,1
0,1,0,0,0,0,0,0,0,2,4.132355487,1,34,6.333333333,1
0,0,1,0,0,0,0,0,0,3,4.508442481,1,39.15555556,6.833333333,0
0,1,0,0,0,0,0,0,0,3,3.726041981,1,33.2,5.8,2
0,0,1,0,0,0,0,0,0,3,6.642208455,1,38.2,5.6,1
0,1,0,0,0,0,0,0,0,3,4.717943101,1,34.71111111,6.666666667,2
0,0,0,0,0,1,0,0,0,3,4.987027786,1,29.85454545,6,2
0,1,0,0,0,0,0,0,0,3,3.503930257,1,33.2,5.75,1
0,1,0,0,0,0,0,0,0,3,4.21730593,1,32,6.666666667,1
0,1,0,0,0,0,0,0,0,2,3.241176275,1,33.2,6.6,2
0,1,0,0,0,0,0,0,0,4,4.165535888,0,24.66666667,3.625,1
1,0,0,0,0,0,0,0,0,6,4.712946251,2,34.67619048,6.3,2
0,1,0,0,0,0,0,0,0,4,6.006623488,3,29.06666667,5.555555556,2
1,0,0,0,0,0,0,0,0,4,3.782759804,2,33.98823529,6.3,2
0,1,0,0,0,0,0,0,0,7,4.470150676,2,36.58095238,6.538461538,2
0,1,0,0,0,0,0,0,0,3,3.70168488,1,34.71111111,6.571428571,1
0,1,0,0,0,0,0,0,0,4,4.765047247,2,36.44615385,4.666666667,2
1,0,0,0,0,0,0,0,0,5,5.125062748,3,29.06666667,6.7,2
0,1,0,0,0,0,0,0,0,4,4.337464379,2,35,5.555555556,2
0,1,0,0,0,0,0,0,0,3,4.418593855,2,26,4.8,1
1,0,0,0,0,0,0,0,0,3,4.02225582,0,32,6,1
0,1,0,0,0,0,0,0,0,4,4.011532192,1,36,5.833333333,1
0,1,0,0,0,0,0,0,0,6,6.442754171,2,32,5,2
